month_date,total_attendances,seen_within_4h,national_pct_within_4h
2025-04-01,2297421.0,1718099.0,74.78
2025-05-01,2397529.0,1807794.0,75.4
2025-06-01,2351581.0,1776772.0,75.56
2025-07-01,2408866.0,1840562.0,76.41
2025-08-01,2266937.0,1720066.0,75.88
2025-09-01,2310222.0,1733831.0,75.05
2025-10-01,2397701.0,1777827.0,74.15
2025-11-01,2345860.0,1740698.0,74.2
2025-12-01,2327015.0,1718488.0,73.85
2026-01-01,2320266.0,1681284.0,72.46
2026-02-01,2117450.0,1568084.0,74.06
2026-03-01,2432253.0,1875443.0,77.11
